APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0000320000","Jun 9, 2017",Con Archivo (Preliminar),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Anticorrupcion - Chachapoyas(Ncpp),"01206015500-2016-
0000080000","Jun 9, 2017",Denuncia Pendiente,DELITO CONTRA LA ADMINISTRACION PUBLICA
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2017-
0004090000","Jun 8, 2017",Denuncia Pendiente,DAÑOS
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2017-
0001680000","Jun 8, 2017",Con Archivo (Califica),DELITO CONTRA LA ADMINISTRACION PUBLICA
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Superior Penal De Amazonas(Ncpp),"01206015200-2013-
0001850003","Jun 8, 2017",Califica Apelacion,CONTAMINACION DEL AMBIENTE
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2017-
0004030000","Jun 7, 2017",Denuncia Pendiente,COACCION
"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Tacna,"02906014500-2016-
0010800000","Jun 7, 2017",Con Acusacion,"CONTRA LA FE PUBLICA (USO DE DOCUMENTO FALSO O FALSIFICADO COMO SI FUERA LEGITIMO, SIEMPRE QUE SU USO PUEDA RES..."
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,01º Fiscalia Supraprov. Corporat. Espec. En Delitos De Lavado De Activo Y Perdida De Dominio(Ncpp),"00506015703-2017-
0000550000","Jun 7, 2017",Con Investigacion Preliminar,LAVADO DE ACTIVOS
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Superior Penal De Apelaciones De Lambayeque,"02406074502-2014-
0006710000","Jun 7, 2017",Denuncia Pendiente,DELITO CONTRA LA ADMINISTRACION PUBLICA
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2017-
0001070000","Jun 6, 2017",Con Investigacion Preliminar,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"MERINO LOPEZ, OMAR",APP,Apurímac,01° Fiscalía Provincial Penal Corporativa De Abancay(Ncpp),"01406014501-2015-
0008990001","Jun 6, 2017",Con Archivo (Preliminar),"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI…"
"MERINO LOPEZ, OMAR",APP,Apurímac,01° Fiscalía Provincial Penal Corporativa De Abancay(Ncpp),"01406014501-2015-
0008990000","Jun 6, 2017",Con Archivo (Preliminar),"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USURPACION DE FUNCION PUBLICA O DE AUTORIDAD MILITAR O POLICIAL AGRAVADA POR RESISTENCI..."
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,02° Fiscalia Superior Penal Ucayali(Ncpp),"03006014504-2012-
0001360003","Jun 5, 2017",Audiencia De Apelacion,"USURPACIÓN DE AUTORIDAD, TITULOS Y HONORES (USO ILICITO DE INSIG.GRAD.ETC)"
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2016-
0002720000","Jun 3, 2017",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2017-
0003730000","Jun 1, 2017",Denuncia Pendiente,"DELITO DE PELIGRO COMUN (CONDUCCION, OPERACION O MANIOBRA DE VEHICULO MOTORIZADO EN ESTADO DE EBRIEDAD O DROGADICC..."
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,01º Fiscalia Provincial Penal Corporativa De Tumbes,"03506014501-2016-
0024720000","Jun 1, 2017",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,02º Fiscalia Provincial Penal Corporativa De Paita,"02606054502-2016-
0002320000","May 30, 2017",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,01° Fiscalia Provincial Penal Corporativa De  Arequipa,"01506014501-2016-
0076060000","May 29, 2017",Con Archivo (Preliminar),USURPACION (AGENTE CON VIOLENCIA O AMENAZA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2017-
0016360000","May 29, 2017",Con Archivo (Califica),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Superior Penal De Apelaciones De Lambayeque,"02406074502-2010-
0020600003","May 26, 2017",Audiencia De Apelacion,CONTRA EL PATRIMONIO
"MESÍA RAMIREZ, CARLOS FERNANDO",Fuerza Popular,Lima,03° Fiscalia Provincial Penal De San Juan De Miraflores,"00706030103-2017-
0004720000","May 26, 2017",Investigacion Policial,CONTRA LA FUNCIÓN JURISDICCIONAL (FRAUDE PROCESAL)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,"Fiscalia Especializada En Materia Ambiental De Loreto
- Maynas (Ncpp)","02506015200-2016-
0001330000","May 24, 2017",Formaliza Investigacion Preparatoria,RESPONSABILIDAD DE FUNCIONARIO PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS – CULPOSO
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,08º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014508-2017-
0000500000","May 19, 2017",Formaliza Investigacion Preparatoria,ABUSO DE AUTORIDAD (ACEPTAR NOMBRAMIENTO ILEGAL)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Mixta Corporativa De La Esperanza,"02306014503-2017-
0016680000","May 18, 2017",Denuncia Pendiente,USURPACION (AGENTE CON VIOLENCIA
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074501-2012-
0033190000","May 18, 2017",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2014-
0000110000","May 17, 2017",Con Principio Oportunidad (Intermedia),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Tumbes(Ncpp),"03506015500-2015-
0000110000","May 17, 2017",Con Acusacion,CONCUSION (COLUSION ILEGAL)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,42º Fiscalia Provincial En Lo Penal De Lima,"00506010142-2017-
0002430000","May 16, 2017",Investigacion Fiscal,EXPOSICIÓN A PERSONA EN PELIGRO (EXPOSICION A PELIGRO DE MUERTE O GRAVE DAÑO A LA SALUD
"MESÍA RAMIREZ, CARLOS FERNANDO",Fuerza Popular,Lima,41º Fiscalia Provincial En Lo Penal De Lima,"00506010141-2017-
0003710000","May 15, 2017",Investigacion Policial,CONTRA LA FUNCIÓN JURISDICCIONAL (FRAUDE PROCESAL)
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,02º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024502-2016-
0004050000","May 15, 2017",Derivado (Preliminar),ABUSO DE AUTORIDAD
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2017-
0000630000","May 15, 2017",En Investigacion Preventiva,CONTAMINACION (DELITO DE MINERIA ILEGAL)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2017-
0000640000","May 15, 2017",En Investigacion Preventiva,CONTAMINACION (DELITO DE MINERIA ILEGAL)
"ACATE CORONEL, EDUARDO GEOVANNI",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2016-
0000270000","May 15, 2017",Con Archivo (Preliminar),CONCUSION (COLUSION SIMPLE)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Materia Ambiental - Sede Huari,"01306095200-2017-
0000650000","May 15, 2017",En Investigacion Preventiva,CONTAMINACION (DELITO DE MINERIA ILEGAL)
"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,Arequipa,05º Fiscalia Provincial En Lo Penal De Lima,"00506010105-2017-
0003840000","May 12, 2017",Denuncia Pendiente,ABUSO DE AUTORIDAD
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Especializada En Prevencion Del Delito De Ancash,"01306014900-2017-
0002590000","May 11, 2017",Derivado Penal,CONTRA LOS RECURSOS NATURALES Y MEDIO AMBIENTE (COMERC.ALMACEN.DESECHOS)
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Provincial Espec. En Delitos De Corrupcion De Funcionarios-Cajamarca,"01706045500-2017-
0001080000","May 8, 2017",Derivado (Califica),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
"ALIAGA PAJARES, GUILLERMO ALEJANDRO ANTONIO",Somos Perú,Lima,Fiscalia Provincial Penal De Recuay,"01306154500-2017-
0001490000","May 6, 2017",Con Archivo (Califica),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"SANTILLANA PAREDES, ROBERTINA",APP,San Martín,01º Fiscalia Provincial Penal Corporativa De Leoncio Prado (Ncpp),"02006064501-2016-
0011180000","May 4, 2017",Con Archivo (Preliminar),ESTAFA Y OTRAS DEFRAUDACIONES
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2016-
0027380000","May 3, 2017",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,02° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014502-2017-
0023500000","May 2, 2017",Con Investigacion Preliminar,EXPOSICIÓN A PERSONA EN PELIGRO (EXPONE A PELIGRO VIDA O SALUD DE PERSONA BAJO SU AUTORIDAD
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,02 º Fiscalia Provincial En Lo Penal Del Callao,"00906010113-2015-
0000880000","May 2, 2017",Con Dictamen,CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
"CONTRERAS BAUTISTA, CINDY ARLETTE",No agrupado,Lima,04° Fiscalía Superior Penal De Ayacucho(Ncpp),"01606014502-2016-
0001240002","Apr 27, 2017",Audiencia De Apelacion,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO  TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E...
"GONZALES TUANAMA, CÉSAR",Somos Perú,Ucayali,04º Fiscalia Provincial Penal Corporativa De Coronel Portillo(Ncpp),"03006014504-2017-
0006920000","Apr 26, 2017",Con Investigacion Preliminar,OMISIÓN DE ASISTENCIA FAMILIAR (INCUMPLIM.OBLIG.ALIMENTARIA)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2017-
0001270000","Apr 26, 2017",Con Archivo (Califica),DELITO CONTRA LA ADMINISTRACION PUBLICA
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2017-
0006140000","Apr 25, 2017",Con Investigacion Preliminar,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (OCULTAMIENTO DE PRUEBAS)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Jose L. Ortiz,"02406084502-2017-
0005050000","Apr 24, 2017",Con Investigacion Preliminar,OMISION ACTOS FUNCIONALES-1ER.PARRAFO- FUNCIONARIO PUBLICO QUE...
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios De Cusco,"01806115500-2017-
0001000000","Apr 24, 2017",Denuncia Pendiente,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2017-
0000030000","Apr 24, 2017",Con Investigacion Preliminar,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD)
"CHAIÑA CONTRERAS, HIPÓLITO",UPP,Arequipa,03° Fiscalia Provincial Penal Corporativa De  Arequipa,"01506014503-2016-
0059030000","Apr 21, 2017",Con Archivo (Preliminar),USURPACION
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,05º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014505-2017-
0006660000","Apr 21, 2017",Con Investigacion Preliminar,PECULADO (DEMORA INDEBIDA DE PAGOS)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Superior Especializada En Delitos De Corrupcion De Funcionarios De Loreto,"02506015500-2017-
0000810001","Apr 18, 2017",Resuelve Exclusion Fiscal,CONCUSION (COLUSION SIMPLE)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,01º Fiscalia Provincial De Prevencion Del Delito De Loreto (Ncpp),"02506014901-2017-
0000580000","Apr 18, 2017",Derivado Penal,CONTRA LA VIDA/EL CUERPO Y LA SALUD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0001350000","Apr 17, 2017",Formaliza Investigacion Preparatoria,DELITO CONTRA LA ADMINISTRACION PUBLICA
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01º Fiscalia Superior Penal De La Libertad,"02306014504-2016-
0002720001","Apr 12, 2017",Resuelve Exclusion Fiscal,ABUSO DE AUTORIDAD
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2015-
0058870000","Apr 12, 2017",Con Archivo (Preliminar),ABUSO DE AUTORIDAD
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,01º Fiscalía Provincial Penal Corporativa De Cutervo,"02406024501-2014-
0004480000","Apr 12, 2017",En Audiencia,CONCUSION (COLUSION ILEGAL)
"URRESTI ELERA, DANIEL BELIZARIO",Podemos,Lima,2º Fiscalía Provincial Penal Corporativa De Tambopata,"03606014502-2015-
0000720000","Apr 6, 2017",Con Investigacion Preliminar,FRAUDE EN LA ADMINISTRACION DE PERSONA JURIDICA (OCULT.VERDADERA.SITUACION)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2010-
0020600000","Apr 6, 2017",Con Sentencia,CONTRA EL PATRIMONIO
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,03° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014504-2016-
0051110000","Apr 4, 2017",Formaliza Investigacion Preparatoria,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2017-
0000920000","Apr 3, 2017",Con Investigacion Preliminar,PECULADO - MALVERSACION (SI EL DINERO O BIENES CORRESPONDEN A PROGRAMAS DE APOYO SOCIAL)
"VÁSQUEZ TAN, GRIMALDO",Somos Perú,Amazonas,Fiscalia Provincial Penal Especializada En Materia Ambiental- Chachapoyas(Ncpp),"01206015200-2013-
0001850000","Mar 29, 2017",Con Sentencia,CONTAMINACION DEL AMBIENTE
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506014504-2016-
0003420002","Mar 29, 2017",Resuelve Exclusion Fiscal,ABUSO DE AUTORIDAD
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Loreto,"02506015500-2017-
0000810000","Mar 28, 2017",Con Investigacion Preliminar,CORRUPCIÓN DE FUNCIONARIO (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,01º Fiscalia Provincial Penal Corporativa De Lambayeque,"02406054501-2015-
0006270000","Mar 27, 2017",Con Investigacion Preliminar,ABUSO DE AUTORIDAD
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2014-
0021090000","Mar 23, 2017",Con Archivo (Preliminar),CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Corporativa De Prevencion Del Delito De Lambayeque,"02406074504-2017-
0000620000","Mar 23, 2017","Con Archivo Definitivo (Inv.
Preven.)",CONTRA LA TRANQUILIDAD PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2015-
0002820002","Mar 16, 2017",Con Archivo (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001580000","Mar 14, 2017",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001570000","Mar 14, 2017",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001630000","Mar 14, 2017",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001590000","Mar 14, 2017",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2015-
0002820001","Mar 10, 2017",Con Archivo (Califica),DELITO CONTRA LA ADMINISTRACION PUBLICA
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,"Fiscalia Especializada En Materia Ambiental De Loreto
- Maynas (Ncpp)","02506015200-2017-
0000060000","Mar 10, 2017",Con Reserva Provisional (Preliminar),RESPONSABILIDAD DE FUNCIONARIO PUBLICO POR OTORGAMIENTO ILEGAL DERECHOS – CULPOSO
"PÉREZ MIMBELA, JHOSEPT AMADO",APP,Ancash,01º Fiscalia Provincial Penal Corporativa De Casma (Ncpp),"03106024501-2015-
0002510000","Mar 8, 2017",Con Archivo (Preliminar),CONTRA LA FUNCIÓN JURISDICCIONAL (OMISION DE DENUNCIA)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios - La Libertad,"02306015500-2016-
0002680000","Mar 7, 2017",Con Archivo (Preliminar),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
"DIOSES GUZMÁN, LUIS REYMUNDO",Somos Perú,Piura,01º Fiscalia Provincial Penal Corporativa De Piura,"02606064501-2017-
0004470000","Mar 6, 2017",Derivado (Califica),ABUSO DE AUTORIDAD
"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,04º Fiscalía Provincial Penal Corporativa De Huancayo(Ncpp),"02206014504-2015-
0005940000","Mar 6, 2017",Con Acusacion,HOMICIDIO CULPOSO (INOBSERVANCIA A LAS REGLAS DE PROFESION
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2017-
0008160000","Mar 3, 2017",Con Investigacion Preliminar,"CONTRA LA PROPIEDAD INDUSTRIAL (ALMACENAMIENTO, FABRICACION, UTILIZ CON FIN COMERC, OFERT Y DISTRIB VENTA  IMP O EXP EN TODO O PARTE  OBTENCION..)"
"RIVERA GUERRA, WALTER JESÚS",Acción Popular,Lima,Fiscalia Provincial Civil Y Familia De Chosica,"00506010755-2016-
0002840000","Feb 28, 2017",Archivo Definitivo,CONTRAVENCION
"BARRIONUEVO ROMERO, BETTO",Somos Perú,Ancash,Fiscalia Provincial Especializada En Prevencion Del Delito De Ancash (Ncpp),"01306014900-2016-
0006070000","Feb 23, 2017",Derivado Penal,USURPACION
"BENAVIDES GAVIDIA, WALTER",APP,Cajamarca,Fiscalia Superior Mixta De Jaen,"02406024501-2014-
0004480001","Feb 23, 2017",Consulta Resuelta,CONCUSION (COLUSION ILEGAL)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,02º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014502-2016-
0011920000","Feb 17, 2017",Con Investigacion Preliminar,USURPACION
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,03º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074503-2016-
0050080000","Feb 13, 2017",Con Archivo (Califica),OMISION ACTOS FUNCIONALES-1ER.PARRAFO- FUNCIONARIO PUBLICO QUE...
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Superior Penal De Loreto (Ncpp),"02506014504-2016-
0003420001","Feb 8, 2017",Consulta Resuelta,ABUSO DE AUTORIDAD
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,02º Fiscalia Provincial Penal Corporativa De Chiclayo,"02406074502-2014-
0018170000","Feb 8, 2017",Formaliza Investigacion Preparatoria,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"LUNA MORALES, JOSÉ LUIS",Podemos,Lima,55ºfiscalia Provincial En Lo Penal De Lima,"00506010155-2017-
0000430000","Jan 31, 2017",Investigacion Policial,APROPIACION ILICITA COMUN
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0029920002","Jan 30, 2017",Derivado (Preliminar),ELABORACIÓN Y COMERCIO CLANDESTINO DE PRODUCTOS
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0029920001","Jan 30, 2017",Derivado (Preliminar),ELABORACIÓN Y COMERCIO CLANDESTINO DE PRODUCTOS
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0029920000","Jan 30, 2017",Derivado (Preliminar),ELABORACIÓN Y COMERCIO CLANDESTINO DE PRODUCTOS
"ACUÑA PERALTA, HUMBERTO",APP,Lambayeque,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque,"02406075500-2015-
0000250000","Jan 25, 2017",Con Acusacion,DELITO CONTRA LA ADMINISTRACION PUBLICA
"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240003","Jan 24, 2017",Audiencia De Apelacion,LESIONES (CULPOSAS)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,04º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014504-2016-
0003420000","Jan 24, 2017",Denuncia Pendiente,ABUSO DE AUTORIDAD
"ESPINOZA ROSALES, RENNÁN SAMUEL",No agrupado,Lima,03ºfiscalia Provincial Mixta De Puente Piedra,"00606020616-2016-
0012580000","Jan 20, 2017",Investigacion Policial,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA )
"NÚÑEZ SALAS, JOSÉ ANTONIO",Morado,Arequipa,Fiscalia Provincial Penal Corporativa De Tacna,"02906014500-2016-
0054790000","Jan 20, 2017",Con Archivo (Preliminar),FALSIFICACION DE DOCUMENTOS EN GENERAL
"RODAS MALCA, TANIA ROSALIA",APP,La Libertad,03º Fiscalia Superior Penal De La Libertad,"02306014502-2010-
0037240002","Jan 17, 2017",Audiencia De Apelacion,LESIONES (CULPOSAS)
"VALDEZ FARÍAS, LUIS ALBERTO",APP,La Libertad,01° Fiscalia Provincial Penal Corporativa De Trujillo,"02306014501-2016-
0059810000","Jan 17, 2017",Derivado (Preliminar),DEFRAUDACION (SE VENDE O GRAVA)
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Abancay,"01406015500-2011-
0003290005","Jan 16, 2017","Con Sobreseimiento(Juzgamiento
)",PECULADO (APROP.O.UTILIZAC.DE.CAUDALES)
"PANTOJA CALVO, RUBEN",UPP,Cusco,Fiscalia Provincial Corporativa Especializada En Delitos De Corrupcion De Funcionarios-Abancay,"01406015500-2011-
0003290000","Jan 16, 2017",Con Sentencia,PECULADO (APROP.O.UTILIZAC.DE.CAUDALES)
"MELÉNDEZ CELIS, FERNANDO",APP,Loreto,06º Fiscalia Provincial Penal Corporativa De Maynas (Ncpp),"02506014506-2015-
0002870000","Jan 14, 2017",Derivado (Preparatoria),VIOLENCIA Y RESISTENCIA A LA AUTORIDAD (DESOB.Y.RESIST.A.ORDEN.OFICIAL)
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001560000","Jan 14, 2017",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
"GONZALEZ CRUZ, MOISES",APP,Cajamarca,Fiscalia Provincial Corp. Especializada En Delitos De Corrupcion De Funcionarios De Lambayeque(Ncpp),"02406075500-2016-
0001680000","Jan 10, 2017",Con Reserva Provisional (Preliminar),DELITO CONTRA LA ADMINISTRACION PUBLICA
